,From,To,Value,Year
0,Sweden , Germany,2900.0,2023
1,Czech Republic , Poland,1800.0,2023
2,Germany , Luxembourg,3000.0,2023
3,Norway , Netherlands,2900.0,2023
4,Sweden , Poland,3700.0,2023
5,Denmark , Netherlands,2800.0,2023
6,Germany , Poland,2800.0,2023
7,Austria , Switzerland,4000.0,2023
8,Czech Republic , Germany,3400.0,2023
9,Czech Republic , Austria,5800.0,2023
10,Norway , Germany,5900.0,2023
11,Norway , Denmark,5300.0,2023
12,Germany , Belgium,3900.0,2023
13,Germany , Austria,7500.0,2023
14,Netherlands , Belgium,7800.0,2023
15,Netherlands , Germany,7000.0,2023
16,Norway , Sweden,6800.0,2023
17,Sweden , Denmark,9900.0,2023
18,France , Belgium,6500.0,2023
19,Switzerland , Germany,7400.0,2023
20,Denmark , Germany,13900.0,2023
21,France , Switzerland,17000.0,2023
22,Germany , France,10900.0,2023
0,Germany , Sweden,194.0,2023
1,Poland , Czech Republic,1300.0,2023
2,Luxembourg , Germany,113.0,2023
3,Netherlands , Norway,599.0,2023
4,Poland , Sweden,139.0,2023
5,Netherlands , Denmark,2000.0,2023
6,Poland , Germany,2500.0,2023
7,Switzerland , Austria,2300.0,2023
8,Germany , Czech Republic,3100.0,2023
9,Austria , Czech Republic,1100.0,2023
10,Germany , Norway,1300.0,2023
11,Denmark , Norway,2100.0,2023
12,Belgium , Germany,3800.0,2023
13,Austria , Germany,3200.0,2023
14,Belgium , Netherlands,3400.0,2023
15,Germany , Netherlands,4300.0,2023
16,Sweden , Norway,5200.0,2023
17,Denmark , Sweden,2200.0,2023
18,Belgium , France,6100.0,2023
19,Germany , Switzerland,6000.0,2023
20,Germany , Denmark,3100.0,2023
21,Switzerland , France,4000.0,2023
22,France , Germany,10300.0,2023
